Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.055	1	0	6	-91.3763
0.055	1	0	1	-127.422
0.055	1	0	2	-127.569
0.055	1	0	3	-129.439
0.055	1	0	8	-112.659
0.055	1	0	9	-105.007
0.055	1	0	7	-105.172
0.06	1	0	4	-105.012
0.06	1	0	5	-114.988
0.06	1	0	6	-91.1448
0.06	1	0	1	-127.74
0.06	1	0	2	-127.278
0.06	1	0	3	-129.506
0.06	1	0	8	-112.806
0.06	1	0	9	-105.134
0.06	1	0	7	-105.172
0.065	1	0	4	-105.09
0.065	1	0	5	-115.145
0.065	1	0	6	-91.6729
0.065	1	0	1	-127.548
0.065	1	0	2	-127.519
0.065	1	0	3	-129.765
0.065	1	0	8	-112.711
0.065	1	0	9	-105.211
0.065	1	0	7	-105.172
0.066	1	0	4	-105.06
0.066	1	0	5	-115.13
0.066	1	0	6	-91.6197
0.066	1	0	1	-127.402
0.066	1	0	2	-127.296
0.066	1	0	3	-129.808
0.066	1	0	8	-112.714
0.066	1	0	9	-105.21
0.066	1	0	7	-105.172
0.07	1	0	4	-104.862
0.07	1	0	5	-114.861
0.07	1	0	6	-91.6801
0.07	1	0	1	-127.476
0.07	1	0	2	-126.932
0.07	1	0	3	-129.914
0.07	1	0	8	-112.342
0.07	1	0	9	-105.484
0.07	1	0	7	-105.172
0.075	1	0	4	-104.653
0.075	1	0	5	-114.891
0.075	1	0	6	-91.594
0.075	1	0	1	-127.657
0.075	1	0	2	-127.21
0.075	1	0	3	-129.755
0.075	1	0	8	-112.158
0.075	1	0	9	-105.476
0.075	1	0	7	-105.172
0.0785	1	0	4	-104.734
0.0785	1	0	5	-114.768
0.0785	1	0	6	-91.5048
0.0785	1	0	1	-127.587
0.0785	1	0	2	-127.335
0.0785	1	0	3	-129.848
0.0785	1	0	8	-112.134
0.0785	1	0	9	-105.666
0.0785	1	0	7	-105.172
0.08	1	0	4	-104.69
0.08	1	0	5	-114.55
0.08	1	0	6	-91.451
0.08	1	0	1	-127.625
0.08	1	0	2	-127.14
0.08	1	0	3	-129.714
0.08	1	0	8	-112.301
0.08	1	0	9	-105.743
0.08	1	0	7	-105.172
0.081	1	0	4	-104.659
0.081	1	0	5	-114.397
0.081	1	0	6	-91.273
0.081	1	0	1	-127.537
0.081	1	0	2	-127.005
0.081	1	0	3	-129.526
0.081	1	0	8	-112.092
0.081	1	0	9	-105.738
0.081	1	0	7	-105.172
0.08325	1	0	4	-104.838
0.08325	1	0	5	-114.332
0.08325	1	0	6	-90.8833
0.08325	1	0	1	-127.389
0.08325	1	0	2	-127.141
0.08325	1	0	3	-129.826
0.08325	1	0	8	-111.762
0.08325	1	0	9	-105.847
0.08325	1	0	7	-105.172
0.0835	1	0	4	-104.854
0.0835	1	0	5	-114.322
0.0835	1	0	6	-90.92
0.0835	1	0	1	-127.415
0.0835	1	0	2	-127.179
0.0835	1	0	3	-129.843
0.0835	1	0	8	-111.711
0.0835	1	0	9	-105.811
0.0835	1	0	7	-105.172
0.085	1	0	4	-104.628
0.085	1	0	5	-113.944
0.085	1	0	6	-90.5981
0.085	1	0	1	-127.357
0.085	1	0	2	-127.169
0.085	1	0	3	-129.613
0.085	1	0	8	-111.64
0.085	1	0	9	-105.805
0.085	1	0	7	-105.172
0.086	1	0	4	-104.867
0.086	1	0	5	-114.029
0.086	1	0	6	-90.4331
0.086	1	0	1	-127.503
0.086	1	0	2	-127.167
0.086	1	0	3	-129.564
0.086	1	0	8	-111.69
0.086	1	0	9	-105.683
0.086	1	0	7	-105.172
0.0885	1	0	4	-104.594
0.0885	1	0	5	-113.918
0.0885	1	0	6	-90.4426
0.0885	1	0	1	-127.53
0.0885	1	0	2	-127.094
0.0885	1	0	3	-129.424
0.0885	1	0	8	-111.661
0.0885	1	0	9	-105.558
0.0885	1	0	7	-105.172
0.09	1	0	4	-104.6
0.09	1	0	5	-113.796
0.09	1	0	6	-90.6034
0.09	1	0	1	-127.49
0.09	1	0	2	-127.039
0.09	1	0	3	-129.539
0.09	1	0	8	-111.537
0.09	1	0	9	-105.512
0.09	1	0	7	-105.172
0.091	1	0	4	-104.577
0.091	1	0	5	-113.845
0.091	1	0	6	-90.6431
0.091	1	0	1	-127.439
0.091	1	0	2	-127.119
0.091	1	0	3	-129.646
0.091	1	0	8	-111.674
0.091	1	0	9	-105.381
0.091	1	0	7	-105.172
0.095	1	0	4	-104.168
0.095	1	0	5	-113.676
0.095	1	0	6	-90.5445
0.095	1	0	1	-127.562
0.095	1	0	2	-126.908
0.095	1	0	3	-130.073
0.095	1	0	8	-111.636
0.095	1	0	9	-104.763
0.095	1	0	7	-105.172
0.1	1	0	4	-104.256
0.1	1	0	5	-113.739
0.1	1	0	6	-90.5361
0.1	1	0	1	-127.573
0.1	1	0	2	-126.579
0.1	1	0	3	-130.28
0.1	1	0	8	-111.678
0.1	1	0	9	-104.572
0.1	1	0	7	-105.172
0.105	1	0	4	-104.451
0.105	1	0	5	-113.438
0.105	1	0	6	-90.6184
0.105	1	0	1	-127.612
0.105	1	0	2	-126.663
