Time	CellId	RNTI	BWPId	SINR(dB)
0.36775	2	7	0	21.2535
0.368036	2	6	0	45.5348
0.370054	2	5	0	40.3604
0.370286	2	8	0	22.8993
0.37275	2	8	0	25.7717
0.372786	2	9	0	21.8893
0.372804	2	6	0	45.5268
0.372821	2	5	0	40.3854
0.372857	2	4	0	56.8654
0.373036	2	7	0	21.7964
0.37525	2	7	0	17.8498
0.375304	2	6	0	45.47
0.375321	2	4	0	56.6102
0.375339	2	2	0	35.2752
0.375786	2	1	0	44.1074
0.377536	2	3	0	39.945
0.377786	2	4	0	56.6512
0.378286	2	8	0	23.444
0.378536	2	5	0	40.3323
0.38025	2	8	0	26.1977
0.380536	2	9	0	22.4922
0.380554	2	6	0	45.5452
0.381036	2	7	0	21.2465
0.38275	2	7	0	13.4905
0.382804	2	5	0	40.2595
0.385036	2	6	0	45.343
0.385054	2	5	0	40.0945
0.385071	2	4	0	56.3113
0.387536	2	8	0	23.4328
0.387554	2	6	0	45.3467
0.387571	2	4	0	56.1103
0.387786	2	2	0	35.394
0.388286	2	1	0	44.3048
0.388536	2	9	0	22.3996
0.39025	2	8	0	25.833
0.390286	2	7	0	20.4994
0.390304	2	4	0	56.3553
0.390321	2	3	0	39.945
0.391036	2	5	0	40.3341
0.39275	2	7	0	2.98733
0.392786	2	6	0	45.7968
0.392804	2	4	0	55.7401
0.393036	2	6	0	45.7226
0.395036	2	8	0	23.3361
0.395071	2	5	0	39.9204
0.39775	2	5	0	37.5844
0.39775	2	8	0	20.0702
0.397786	2	9	0	22.3818
0.397821	2	7	0	19.4931
0.397839	2	5	0	39.9276
0.397875	2	4	0	55.7194
0.40025	2	7	0	2.60354
0.400304	2	6	0	45.433
0.400321	2	4	0	55.3897
0.400339	2	2	0	34.7461
0.400536	2	6	0	45.358
0.400786	2	1	0	44.0738
0.402536	2	8	0	23.2376
0.402554	2	3	0	39.945
0.402786	2	4	0	55.5774
0.403536	2	5	0	39.6414
0.405036	2	9	0	22.6704
0.405107	2	7	0	18.5199
0.405536	2	6	0	45.1301
0.407554	2	5	0	39.4622
0.410036	2	6	0	44.468
0.410054	2	5	0	39.4978
0.410089	2	4	0	55.7136
0.410286	2	8	0	23.2165
0.412536	2	9	0	22.8167
0.412571	2	6	0	44.8196
0.412589	2	4	0	55.3887
0.412786	2	2	0	34.4067
0.413071	2	7	0	17.5905
0.413286	2	1	0	44.6354
0.415036	2	3	0	39.945
0.415286	2	4	0	55.575
0.416036	2	5	0	39.4708
0.418036	2	6	0	45.4716
0.418286	2	8	0	22.8761
0.420036	2	5	0	39.2132
0.420536	2	9	0	22.3418
0.421054	2	7	0	17.2899
0.42275	2	9	0	23.1381
0.422804	2	5	0	38.9691
0.422839	2	4	0	55.4975
0.423036	2	4	0	55.4656
0.425054	2	6	0	45.1461
0.425286	2	6	0	45.1299
0.425304	2	2	0	33.3413
0.425786	2	1	0	45.206
0.427536	2	8	0	22.9106
0.427554	2	3	0	39.945
0.427786	2	4	0	55.3003
0.428536	2	9	0	22.2614
0.428554	2	5	0	39.1592
0.43025	2	9	0	22.7891
0.430304	2	7	0	18.1003
0.430536	2	6	0	45.055
0.432554	2	5	0	39.3633
0.435036	2	8	0	22.4436
0.435054	2	6	0	44.7448
0.435071	2	5	0	39.3833
0.435107	2	4	0	55.3037
0.437536	2	9	0	22.6391
0.437571	2	7	0	18.5709
0.437607	2	6	0	44.7771
0.437625	2	4	0	55.6907
0.437786	2	2	0	31.0149
0.438286	2	1	0	45.5817
0.44025	2	9	0	22.9227
0.440286	2	4	0	55.6992
0.440304	2	3	0	39.945
0.441036	2	5	0	39.5252
0.442536	2	8	0	22.3342
0.443036	2	6	0	45.3126
0.44525	2	8	0	23.141
0.445286	2	9	0	22.4462
0.445304	2	7	0	19.5533
0.445339	2	5	0	39.5809
0.44775	2	9	0	22.674
0.447786	2	6	0	45.362
0.447804	2	5	0	39.8396
0.447839	2	4	0	55.309
0.450036	2	6	0	45.3081
0.450054	2	4	0	54.9706
0.450286	2	8	0	22.7045
0.450304	2	2	0	30.3764
0.450786	2	1	0	45.5508
0.45275	2	8	0	14.2409
0.45275	2	2	0	32.536
0.452786	2	9	0	22.0447
0.452804	2	6	0	45.1184
0.452821	2	4	0	55.0825
0.452839	2	3	0	39.945
0.453036	2	7	0	20.32
